id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_year,detailed_mood_tags,artist_popularity,song_length_seconds,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2022,"euphoric,upbeat",78,210,English,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2021,"relaxed,focused",65,240,Instrumental,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,68,2020,"aggressive,powerful",60,195,English,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,75,2023,"peaceful,calm",70,225,Instrumental,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2021,"motivational,energetic",82,200,English,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,55,2019,"dreamy,ethereal",50,280,Instrumental,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,62,2020,"nostalgic,warm",58,250,Instrumental,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,78,2023,"retro,futuristic",75,220,Instrumental,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2022,"concentrated,soothing",68,235,Instrumental,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,80,2021,"joyful,carefree",72,205,English,0
11,Golden Hour,Velvet Sun,r&b,romantic,0.58,96,0.74,0.70,0.62,88,2022,"intimate,tender",80,230,English,0
12,Broken Signal,Dead Frequency,metal,aggressive,0.97,168,0.22,0.45,0.08,65,2018,"fierce,intense",55,185,English,1
13,Rainy Tuesday,Porch Light,folk,melancholy,0.31,84,0.38,0.35,0.94,58,2020,"reflective,sad",52,260,English,0
14,Bass Cathedral,Sub Zero,electronic,hype,0.89,140,0.60,0.91,0.04,92,2023,"thrilling,party",85,195,Instrumental,0
15,Lullaby Static,Moonthread,classical,peaceful,0.18,56,0.72,0.20,0.97,45,2015,"serene,tranquil",40,300,Instrumental,0
16,Concrete Jungle,Street Volume,hip-hop,confident,0.83,105,0.55,0.85,0.12,95,2024,"bold,self-assured",88,215,English,1
17,Desert Mirage,Sand Circuit,world,dreamy,0.45,92,0.68,0.48,0.58,50,2017,"mystical,adventurous",45,275,Instrumental,0
18,Pixel Warfare,Glitch Mob,edm,energetic,0.95,150,0.42,0.93,0.03,87,2022,"exciting,dynamic",80,190,Instrumental,0
19,Autumn Letters,Cedar Folk,country,nostalgic,0.40,100,0.76,0.52,0.88,63,2019,"sentimental,warm",57,245,English,0
20,Velvet Noir,Dark Parlor,blues,soulful,0.50,72,0.63,0.55,0.80,70,2021,"emotional,raw",65,235,English,0
